task,encoder,model,agg,train-AP,validation-AP,test-AP
motion,swin,mlp_large,concat,0.782 ± 0.028,0.132 ± 0.014,0.154
motion,swin,mlp_large,abs_diff,0.787 ± 0.008,0.107 ± 0.005,0.129
motion,yamnet,lr,mean,0.382 ± 0.008,0.117 ± 0.006,0.135
motion,yamnet,lr,concat,0.468 ± 0.015,0.102 ± 0.009,0.136
motion,yamnet,lr,abs_diff,0.376 ± 0.018,0.126 ± 0.018,0.12
motion,yamnet,xgboost,mean,0.806 ± 0.013,0.129 ± 0.009,0.148
motion,yamnet,xgboost,concat,0.815 ± 0.01,0.133 ± 0.005,0.151
motion,yamnet,xgboost,abs_diff,0.795 ± 0.011,0.129 ± 0.008,0.13
motion,yamnet,mlp,mean,0.722 ± 0.032,0.115 ± 0.012,0.142
motion,yamnet,mlp,concat,0.734 ± 0.025,0.123 ± 0.007,0.146
motion,yamnet,mlp,abs_diff,0.71 ± 0.037,0.133 ± 0.015,0.12
motion,yamnet,mlp_small,mean,0.696 ± 0.028,0.116 ± 0.009,0.132
motion,yamnet,mlp_small,concat,0.714 ± 0.035,0.114 ± 0.006,0.15
motion,yamnet,mlp_small,abs_diff,0.729 ± 0.019,0.131 ± 0.023,0.143
motion,yamnet,mlp_large,mean,0.708 ± 0.017,0.117 ± 0.009,0.142
motion,yamnet,mlp_large,concat,0.747 ± 0.006,0.118 ± 0.005,0.145
motion,yamnet,mlp_large,abs_diff,0.743 ± 0.019,0.136 ± 0.016,0.136
motion,yamnet-r2plus1d,lr,mean,0.543 ± 0.023,0.138 ± 0.016,0.192
motion,yamnet-r2plus1d,lr,concat,0.588 ± 0.014,0.144 ± 0.008,0.21
motion,yamnet-r2plus1d,lr,abs_diff,0.474 ± 0.008,0.133 ± 0.012,0.13
motion,yamnet-r2plus1d,xgboost,mean,0.835 ± 0.011,0.17 ± 0.015,0.177
motion,yamnet-r2plus1d,xgboost,concat,0.829 ± 0.016,0.161 ± 0.015,0.161
motion,yamnet-r2plus1d,xgboost,abs_diff,0.803 ± 0.013,0.154 ± 0.009,0.129
